,ShiftID,Assigned,ObjectTimeStart,ObjectTimeEnd,StartShift,EndShift,ShiftLength
76,DFD38BDE-9BFB-4265-96E7-2AA13095A616_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 14:00:00,2022-01-08 22:00:00,450.0
77,21FA0B01-4305-468A-B3B6-FC665498E929_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
78,21FA0B01-4305-468A-B3B6-FC665498E929_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 16:00:00,2022-01-07 22:00:00,330.0
79,21FA0B01-4305-468A-B3B6-FC665498E929_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 14:00:00,2022-01-08 22:00:00,450.0
80,2F826996-742C-4C31-BDAA-D1A8176293EE_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
81,2F826996-742C-4C31-BDAA-D1A8176293EE_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 16:00:00,2022-01-08 22:00:00,330.0
82,53FD97B1-8E92-4A1D-990F-F16360AD9EEA_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 16:00:00,2022-01-07 22:00:00,330.0
83,53FD97B1-8E92-4A1D-990F-F16360AD9EEA_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 14:00:00,2022-01-08 22:00:00,450.0
84,2797BD61-D136-4322-B977-A40E51A2D327_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 14:00:00,2022-01-07 22:00:00,450.0
85,D90A51DA-38D4-465E-99AA-F740A04AB2E8_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 14:00:00,2022-01-07 22:00:00,450.0
86,D90A51DA-38D4-465E-99AA-F740A04AB2E8_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 16:00:00,2022-01-08 22:00:00,330.0
87,CA1EFE53-5099-4339-AD29-3FF2D23D4F13_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 14:00:00,2022-01-08 22:00:00,450.0
88,34352998-500B-47CB-B163-E16F11B94256_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 14:00:00,2022-01-07 22:00:00,450.0
89,0960C092-2944-4CED-97B2-15EED4F8E2A3_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 16:00:00,2022-01-07 22:00:00,330.0
90,0960C092-2944-4CED-97B2-15EED4F8E2A3_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 14:00:00,2022-01-08 22:00:00,450.0
91,92764A21-6456-432B-B126-FA53152BBC3D_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 05:00:00,2022-01-03 16:00:00,630.0
92,92764A21-6456-432B-B126-FA53152BBC3D_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 05:00:00,2022-01-04 16:00:00,630.0
93,92764A21-6456-432B-B126-FA53152BBC3D_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 05:00:00,2022-01-05 16:00:00,630.0
94,8745C5FB-A941-43BE-9473-63FE6CCA809E_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 08:00:00,2022-01-03 12:00:00,240.0
95,8745C5FB-A941-43BE-9473-63FE6CCA809E_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 16:00:00,2022-01-04 22:00:00,330.0
96,9CBEA724-DE2F-4C4E-9F4E-C0A1E205F2B1_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 05:00:00,2022-01-03 16:00:00,630.0
97,9CBEA724-DE2F-4C4E-9F4E-C0A1E205F2B1_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 05:00:00,2022-01-04 11:00:00,330.0
98,9CBEA724-DE2F-4C4E-9F4E-C0A1E205F2B1_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 06:00:00,2022-01-05 12:00:00,330.0
99,F4639561-DB63-4A0D-B97C-4C50EF71C40A_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 05:00:00,2022-01-03 16:00:00,630.0
100,F4639561-DB63-4A0D-B97C-4C50EF71C40A_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 14:00:00,2022-01-04 22:00:00,450.0
101,F4639561-DB63-4A0D-B97C-4C50EF71C40A_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 05:00:00,2022-01-05 16:00:00,600.0
102,4EB82AAC-4602-4DA6-9348-DDD84DEFB287_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 05:00:00,2022-01-05 13:00:00,450.0
103,DB9AE1B1-E84B-4F51-901C-1BCF58B50E34_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 08:00:00,2022-01-03 12:00:00,240.0
104,DB9AE1B1-E84B-4F51-901C-1BCF58B50E34_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 13:00:00,2022-01-04 19:00:00,330.0
105,DB9AE1B1-E84B-4F51-901C-1BCF58B50E34_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 10:00:00,2022-01-05 14:00:00,240.0
106,9673B449-5C0F-4B49-8D2B-F5AC2E6B76CC_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 05:00:00,2022-01-03 16:00:00,630.0
107,9673B449-5C0F-4B49-8D2B-F5AC2E6B76CC_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 14:00:00,2022-01-04 22:00:00,450.0
108,9673B449-5C0F-4B49-8D2B-F5AC2E6B76CC_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 05:00:00,2022-01-05 09:00:00,240.0
109,MINH-A1_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 05:00:00,2022-01-03 16:00:00,630.0
110,MINH-A1_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 06:00:00,2022-01-05 14:00:00,450.0
111,MINH-A1_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 05:00:00,2022-01-07 16:00:00,600.0
112,MINH-A1_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 06:00:00,2022-01-08 14:00:00,450.0
113,MINH-A1_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 16:00:00,2022-01-09 22:00:00,330.0
114,MINH-A2_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 13:00:00,2022-01-03 21:00:00,450.0
115,MINH-A2_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 06:00:00,2022-01-04 17:00:00,600.0
116,MINH-A2_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 13:00:00,2022-01-05 21:00:00,450.0
117,MINH-A2_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 05:00:00,2022-01-07 16:00:00,630.0
118,MINH-A2_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 05:00:00,2022-01-08 11:00:00,330.0
119,MINH-A2_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 16:00:00,2022-01-09 22:00:00,330.0
120,MINH-A3_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 16:00:00,2022-01-03 22:00:00,330.0
121,MINH-A3_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 05:00:00,2022-01-04 16:00:00,630.0
122,MINH-A3_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 16:00:00,2022-01-05 22:00:00,330.0
123,MINH-A3_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 05:00:00,2022-01-07 16:00:00,630.0
124,MINH-A3_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 16:00:00,2022-01-09 22:00:00,330.0
125,MINH-A4_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 16:00:00,2022-01-03 22:00:00,330.0
126,MINH-A4_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 05:00:00,2022-01-04 09:00:00,240.0
127,MINH-A4_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 05:00:00,2022-01-05 16:00:00,630.0
128,MINH-A4_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 08:00:00,2022-01-07 19:00:00,630.0
129,MINH-A5_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 14:00:00,2022-01-04 22:00:00,450.0
130,MINH-A5_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 05:00:00,2022-01-05 09:00:00,240.0
131,MINH-A5_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 14:00:00,2022-01-09 22:00:00,450.0
132,MINH-A6_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 05:00:00,2022-01-03 13:00:00,450.0
133,MINH-A6_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 16:00:00,2022-01-04 22:00:00,330.0
134,MINH-A6_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 16:00:00,2022-01-05 22:00:00,330.0
135,MINH-A7_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 08:00:00,2022-01-04 12:00:00,240.0
136,MINH-A8_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 05:00:00,2022-01-04 16:00:00,630.0
137,MINH-A8_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 16:00:00,2022-01-05 20:00:00,240.0
138,MINH-A9_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 08:00:00,2022-01-05 12:00:00,240.0
139,MINH-A10_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 16:00:00,2022-01-05 22:00:00,330.0
